Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65,8450,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,No,856,GasA,Ex,Y,SBrkr,856,854,1710,1,0,2,1,3,1,Gd,8,0,Attchd,2003,2,548,Y,0,61,0,2,2008,WD,Normal,208500
2,20,RL,80,9600,Pave,Reg,Lvl,AllPub,FR2,Veenker,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,1262,GasA,Ex,Y,SBrkr,1262,0,1262,0,1,2,0,3,1,TA,6,1,Attchd,1976,2,460,Y,298,0,0,5,2007,WD,Normal,181500
3,60,RL,68,11250,Pave,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,Mn,920,GasA,Ex,Y,SBrkr,920,866,1786,1,0,2,1,3,1,Gd,6,1,Attchd,2001,2,608,Y,0,42,0,9,2008,WD,Normal,223500
4,70,RL,60,9550,Pave,IR1,Lvl,AllPub,Corner,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,None,0,TA,TA,BrkTil,TA,Gd,No,756,GasA,Gd,Y,SBrkr,961,756,1717,1,0,1,0,3,1,Gd,7,1,Detchd,1998,3,642,Y,0,35,0,2,2006,WD,Abnorml,140000
5,60,RL,84,14260,Pave,IR1,Lvl,AllPub,FR2,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,Av,1145,GasA,Ex,Y,SBrkr,1145,1053,2198,1,0,2,1,4,1,Gd,9,1,Attchd,2000,3,836,Y,192,84,0,12,2008,WD,Normal,250000
6,50,RL,85,14115,Pave,IR1,Lvl,AllPub,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,None,0,TA,TA,Wood,Gd,TA,No,796,GasA,Ex,Y,SBrkr,796,566,1362,1,0,1,1,1,1,TA,5,0,Attchd,1993,2,480,Y,40,30,0,10,2009,WD,Normal,143000
7,20,RL,75,10084,Pave,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,Av,1686,GasA,Ex,Y,SBrkr,1694,0,1694,1,0,2,0,3,1,Gd,7,1,Attchd,2004,2,636,Y,255,57,0,8,2007,WD,Normal,307000
8,60,RL,,10382,Pave,IR1,Lvl,AllPub,Corner,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,Mn,1107,GasA,Ex,Y,SBrkr,1107,983,2090,1,0,2,1,3,1,TA,7,2,Attchd,1973,2,484,Y,235,204,0,11,2009,WD,Normal,200000
9,50,RM,51,6120,Pave,Reg,Lvl,AllPub,Inside,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,None,0,TA,TA,BrkTil,TA,TA,No,952,GasA,Gd,Y,FuseF,1022,752,1774,0,0,2,0,2,2,TA,8,2,Detchd,1931,2,468,Y,90,0,0,4,2008,WD,Abnorml,129900
10,190,RL,50,7420,Pave,Reg,Lvl,AllPub,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,991,GasA,Ex,Y,SBrkr,1077,0,1077,1,0,1,0,2,2,TA,5,2,Attchd,1939,1,205,Y,0,4,0,1,2008,WD,Normal,118000
